所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/销售报表(#5),销售报表界面是否正确显示所有功能,,"1.查看此界面显示的内容
","1.此时界面自动显示销售总体情况当前最新统计数据--根据数据库查询显示数据正确--下方有当日明细,当月明细,总体明细,当日摘要,当月摘要,总体摘要,当月按类汇总,总体按类汇总,退货记录这些按钮 
",,2,功能测试,系统测试阶段
/销售报表(#5),检查显示的统计数据是否正确,"
批次清单","1.查看此时界面的统计数据(记录数据)
2.用批次管理导入一组商品数据
3.执行此商品的入库操作
4.销售出库操作
5.点击销售报表查看此时最新统计数据
6.去数据库sell表查询数据
","
5.数据显示正确(最新数据与原数据相比较)
6.数据库正确变更 
",,2,功能测试,系统测试阶段
/销售报表(#5),检查vip客户数据是否正确,,"1.查看此时界面vip客户数量(记录) 
2.在会员管理界面执行新增几条会员操作
3.返回销售报表界面,查看此时vip客户数量 
4.去数据库customer表查询有多少vip
","
3.vip客户显示正确,
4.数据库数据正确变更
",,2,功能测试,系统测试阶段
/销售报表(#5),检查购买一次数数据是否正确,"
新增一个购买次数为0的会员的电话号码","1.查看购买一次数数据(记录) 
2.执行一次销售出库时使用此号码
3.返回销售报表界面查看此时购买一次数 
4.去数据库查询数据
","
3.数据显示正确,
4.数据库正确变更 
",,2,功能测试,系统测试阶段
/销售报表(#5),检查购买两次数数据是否正确,"
新增一个购买次数为1的会员的电话号码","1.查看购买一次数,两次数数据(记录) 
2.执行一次销售出库时使用此号码
3.返回销售报表界面查看此时购买一次数,两次数 
4.去数据库查询数据
","
3.数据显示正确,
4.数据库正确变更 
",,2,功能测试,系统测试阶段
/销售报表(#5),检查购买多次数数据是否正确,"
新增一个购买次数为2的会员的电话号码","1.查看购买一,两次数,多次数数据(记录) 
2.执行一次销售出库时使用此号码
3.返回销售报表界面查看此时购买两次数,多次数
4.去数据库查询数据
","
3.数据显示正确,
4.数据库正确变更 
",,2,功能测试,系统测试阶段
/销售报表(#5),"检查当日明细,当月明细,总体明细下显示的记录信息是否准确1","
批次清单","1.用批次管理导入一组商品数据
执行此商品的入库操作
销售出库操作
完成后点击销售报表下的当日明细 
2.点击当月明细 
3.点击总体明细","1.新增一条记录,数据正常,数据库正常
2.新增一条记录,数据正常,数据库正常 
3.新增一条记录,数据正常,数据库正常",,2,功能测试,系统测试阶段
/销售报表(#5),"检查当日明细,当月明细,总体明细下显示的记录信息是否准确2","
批次清单","1.用批次管理导入一组商品数据,
执行此商品的入库操作,
销售出库操作 
2.重复执行一次上一步操作后
返回销售报表界面点击当日明细 
3.点击当月明细
4.点击总体明细","
2.新增两条记录,数据正常 
3.新增两条记录,数据正常
4.新增两条记录,数据正常",,2,功能测试,系统测试阶段
/销售报表(#5),"检查当日摘要,当月摘要,总体摘要下显示的记录信息是否准确1","
批次清单","1.用批次管理导入一组商品数据,
执行此商品的入库操作,
销售出库操作
完成后点击销售报表下的当日摘要
2.点击当月摘要
3.点击总体摘要","1.新增一条记录,数据正常,数据库正常
2.新增一条记录,数据正常,数据库正常 
3.新增一条记录,数据正常,数据库正常",,2,功能测试,系统测试阶段
/销售报表(#5),"检查当日摘要,当月摘要,总体摘要下显示的记录信息是否准确2","
批次清单","1.用批次管理导入一组商品数据,
执行此商品的入库操作,
销售出库操作 
2.重复执行一次上一步操作后,
返回销售报表界面点击当日摘要
3.点击当月摘要
4.点击总体摘要","
2.新增两条记录,数据正常 
3.新增两条记录,数据正常
4.新增两条记录,数据正常",,2,功能测试,系统测试阶段
